Fea ,Name ,Score
13367 ,VPS13D ,0
11376 ,CF887450 ,0
9656 ,T65755 ,0
19858 ,USP3 ,0
10311 ,ANK1 ,0
8228 ,B3GALT4 ,0
14820 ,TRAF1 ,-0.001
21555 ,BM983985 ,-0.001
9884 ,NR2C2AP ,-0.001
23482 ,PDCD7 ,-0.001
13332 ,PAQR7 ,-0.001
8514 ,AGXT2L1 ,-0.001
2026 ,NKAPL ,-0.001
9864 ,AI149978 ,-0.001
14732 ,XAGE3 ,-0.001
2430 ,BC031108 ,-0.001
7956 ,SRGAP1 ,-0.001
13422 ,AW297390 ,-0.001
23299 ,FGF8 ,-0.001
20420 ,SSX3 ,-0.001
14594 ,BC122523 ,-0.001
17339 ,CORO1A ,-0.001
8788 ,CLDN18 ,-0.001
8623 ,EXOC2 ,-0.001
5582 ,GPR39 ,-0.001
11668 ,NHEDC1 ,-0.001
2115 ,SLC6A16 ,-0.001
781 ,C10orf26 ,-0.001
1940 ,CHRNA9 ,-0.001
11348 ,UPF0639 ,-0.001
17390 ,GABRG1 ,-0.001
2220 ,ACER1 ,-0.001
8070 ,MMP20 ,-0.001
16145 ,ERN1 ,-0.001
2793 ,BU568084 ,-0.001
8561 ,MAD1L1 ,-0.001
8801 ,THSD7B ,-0.001
11494 ,RPL28 ,-0.001
22479 ,LOC649395 ,-0.001
1805 ,AY660579 ,-0.001
20155 ,TSGA14 ,-0.001
15927 ,FAM190A ,-0.001
5436 ,AK124463 ,-0.001
17539 ,BQ082091 ,-0.001
11748 ,MYO1C ,-0.001
4981 ,SORBS1 ,-0.001
17271 ,AK130868 ,-0.001
17215 ,AW263679 ,-0.001
11583 ,A4GALT ,-0.001
13526 ,BU186384 ,-0.001
8493 ,BTBD17 ,-0.001
14934 ,KCNJ9 ,-0.001
954 ,OR5AK2 ,-0.001
14383 ,ZHX2 ,-0.001
7908 ,POLR3H ,-0.001
994 ,BM563321 ,-0.001
22214 ,AW207549 ,-0.001
14830 ,C2orf83 ,-0.001
17629 ,MTSS1L ,-0.001
18937 ,CTNS ,-0.001
4007 ,PAGE2 ,-0.002
1760 ,OR2A7 ,-0.002
10046 ,WDR43 ,-0.002
14913 ,TRPC2 ,-0.002
16126 ,AW026829 ,-0.002
19957 ,BF475242 ,-0.002
17463 ,WFDC6 ,-0.002
21503 ,AK025288 ,-0.002
5539 ,DB352743 ,-0.002
23009 ,BF739921 ,-0.002
13655 ,ZNF585A ,-0.002
20517 ,DA196703 ,-0.002
14275 ,CLEC4F ,-0.002
2079 ,SMR3B ,-0.002
13071 ,BM931541 ,-0.002
16175 ,KCNJ12 ,-0.002
22285 ,HOXC4 ,-0.002
10723 ,LOC100131195 ,-0.002
21681 ,ATMIN ,-0.002
3959 ,AA704272 ,-0.002
14904 ,BX096222 ,-0.002
19821 ,LOC253962 ,-0.002
22691 ,SLC10A4 ,-0.002
2801 ,SLC32A1 ,-0.002
18696 ,BU685970 ,-0.002
11111 ,BE500990 ,-0.002
5340 ,C3orf50 ,-0.002
11562 ,ADH7 ,-0.002
7841 ,TSC22D2 ,-0.002
10600 ,HES7 ,-0.002
8659 ,BQ446457 ,-0.002
17488 ,OR5AC2 ,-0.002
16210 ,CA428329 ,-0.002
22776 ,PSMA8 ,-0.002
10346 ,DIRAS2 ,-0.002
5742 ,AW082198 ,-0.002
2968 ,GCNT1 ,-0.002
14762 ,AL040153 ,-0.002
1088 ,POM121L2 ,-0.002
17482 ,BX091035 ,-0.002
14716 ,CA433552 ,-0.002
14857 ,AW080776 ,-0.002
20544 ,ARPP21 ,-0.002
19761 ,FGF21 ,-0.002
19737 ,DB030343 ,-0.002
2857 ,MTMR7 ,-0.002
18953 ,AW340696 ,-0.002
14255 ,MYLK2 ,-0.002
2523 ,MAEL ,-0.002
11264 ,AW615077 ,-0.002
14369 ,PRLHR ,-0.002
9908 ,ZNF70 ,-0.002
14765 ,USE1 ,-0.002
13359 ,CD47 ,-0.002
22354 ,EMR4P ,-0.002
17502 ,CLCA4 ,-0.002
8102 ,LCE3C ,-0.002
1431 ,BX105120 ,-0.002
17090 ,BX089601 ,-0.002
23325 ,KCNJ1 ,-0.002
13221 ,HSD17B13 ,-0.002
7346 ,CF891311 ,-0.002
16163 ,BST2 ,-0.002
2533 ,GRM7 ,-0.002
6946 ,OR4F21 ,-0.002
8527 ,CHST5 ,-0.002
22743 ,DNAJC3 ,-0.002
16187 ,OR7E14P ,-0.002
7958 ,SEMA3D ,-0.002
4976 ,BX105942 ,-0.002
22232 ,AK095100 ,-0.002
4708 ,CR745865 ,-0.002
812 ,SYNE2 ,-0.002
23412 ,LYSMD4 ,-0.002
20359 ,KIF18B ,-0.002
7894 ,AA446548 ,-0.002
4665 ,CR622027 ,-0.002
1401 ,FAM154B ,-0.002
1230 ,CA314627 ,-0.002
16786 ,AW452300 ,-0.002
9674 ,SSTR5 ,-0.002
18827 ,AI820612 ,-0.002
4640 ,BE504854 ,-0.002
722 ,LOC389493 ,-0.002
9832 ,LRRTM4 ,-0.002
7088 ,L3MBTL ,-0.002
19665 ,CDCP2 ,-0.002
1099 ,AK123312 ,-0.002
8478 ,LIPG ,-0.002
19841 ,AK056801 ,-0.002
3942 ,BRS3 ,-0.002
17383 ,RBFOX1 ,-0.002
7304 ,C21orf136 ,-0.002
18888 ,LARP1B ,-0.002
4168 ,BCAM ,-0.002
22762 ,PCSK2 ,-0.002
5328 ,LOC285084 ,-0.002
4779 ,AI985115 ,-0.002
852 ,AW518277 ,-0.002
18819 ,TTLL8 ,-0.002
12984 ,DSC1 ,-0.002
2896 ,AI916146 ,-0.002
14991 ,ChGn ,-0.002
1865 ,PDE8B ,-0.002
23561 ,SVOPL ,-0.002
5724 ,GP2 ,-0.002
19533 ,DA380124 ,-0.002
22049 ,SPAG6 ,-0.002
8447 ,AW128955 ,-0.002
5693 ,PSG2 ,-0.002
13254 ,GPR18 ,-0.002
1001 ,KRT84 ,-0.002
23347 ,LOXL3 ,-0.002
2840 ,C11orf88 ,-0.002
11237 ,BSND ,-0.002
20280 ,CA435101 ,-0.002
5418 ,SPRR2D ,-0.002
11721 ,ITIH4 ,-0.002
11506 ,BX102180 ,-0.002
5376 ,GPR88 ,-0.002
4958 ,PES1 ,-0.002
7456 ,GABRA3 ,-0.002
21859 ,PEBP4 ,-0.002
11115 ,C1orf204 ,-0.002
20574 ,APOA2 ,-0.002
14052 ,TOMM40L ,-0.002
5415 ,CYP2A6 ,-0.002
17312 ,GPR82 ,-0.002
7779 ,BF511906 ,-0.002
10176 ,KLK15 ,-0.002
7313 ,A4GNT ,-0.002
17362 ,AA668400 ,-0.002
7926 ,LOC644277 ,-0.002
8176 ,LOC100507362 ,-0.002
9824 ,ADCYAP1 ,-0.002
10594 ,KCNE2 ,-0.002
11769 ,BX111973 ,-0.002
21640 ,OR10A3 ,-0.002
19926 ,HMG20A ,-0.002
9953 ,KRTAP5-7 ,-0.002
16487 ,ATG4C ,-0.002
2110 ,NAT2 ,-0.002
11448 ,AA720703 ,-0.002
7751 ,AI269751 ,-0.002
